Name,SALARY,POS,Starting,Team,Opponent,,Away,Home,Projecte Points,HR Forecasts,Pojected Points with HR Forecast,Secondary Name,qAB,HH%,AB,H,2B,3B,HR,BB,BA,OBP,OPS,BVP Points,BWAR,roba,WHIP,K,,,,,,17.22820339
Maikel Garcia,"4,400.00",3B/SS,YES,KC,CLE,#N/A,CLE,KC,7.5,8,11.5,M. Garcia,17%,0%,11,1,1,0,0,1,0.091,0.167,0.349,14.78,2.8,0.339,,,,,,,,
Angel Martinez,"3,300.00",OF,YES,CLE,KC,Cle,Cle,KC,7.5,8,11.5,A. Martinez,,,,,,,,,,,,0,1,0.3,,,,,,,,
Jorge Polanco,"3,400.00",2B,EXP.,SEA,LAA,Sea,Sea,LAA,7.5,8,11.5,J. Polanco,50%,50%,6,0,0,0,0,0,0,0,0,7,1,0.3,,,,,,,,
Willi Castro,"4,100.00",2B/OF,YES,MIN,WAS,#N/A,WAS,MIN,7.5,10,12.5,W. Castro,0%,0%,1,0,0,0,0,0,0,0,0,1,1,0.3,,,,,,,,
Alec Burleson,"3,800.00",OF,YES,STL,SD,#N/A,SD,STL,7.5,10,12.5,A. Burleson,0%,0%,2,0,0,0,0,0,0,0,0,2,1.3,0.354,,,,,,,,
Austin Hays,"4,600.00",OF,YES,CIN,TB,#N/A,TB,CIN,7.4,10,12.4,A. Hays,83%,33%,6,3,0,0,0,0,0.5,0.5,1,12.16,1.2,0.361,,,,,,,,
Gavin Lux,"3,100.00",OF,YES,CIN,TB,#N/A,TB,CIN,7.4,10,12.4,G. Lux,100%,0%,2,1,0,0,0,0,0.5,0.5,1,6,0.2,0.333,,,,,,,,
Wenceel Perez,"4,300.00",OF,YES,DET,TOR,#N/A,TOR,DET,7.4,8,11.4,W. Perez,33%,33%,3,0,0,0,0,0,0,0,0,3.66,1,0.3,,,,,,,,
Yainer Diaz,"3,200.00",C,YES,HOU,OAK,#N/A,OAK,HOU,7.4,8,11.4,Y. Diaz,33%,0%,3,0,0,0,0,0,0,0,0,3.33,1.1,0.299,,,,,,,,
J.P. Crawford,"3,200.00",SS,EXP.,SEA,LAA,Sea,Sea,LAA,7.4,8,11.4,J. Crawford,64%,36%,10,4,2,0,0,1,0.4,0.455,1.055,19.91,3.1,0.337,,,,,,,,
Xander Bogaerts,"4,000.00",SS,YES,SD,STL,SD,SD,STL,7.4,10,12.4,X. Bogaerts,22%,11%,9,1,1,0,0,0,0.111,0.111,0.333,11.89,1.8,0.326,,,,,,,,
Gavin Sheets,"3,500.00",OF,YES,SD,STL,SD,SD,STL,7.4,10,12.4,G. Sheets,0%,0%,3,0,0,0,0,0,0,0,0,3,0.5,0.325,,,,,,,,
Ivan Herrera,"4,500.00",C,YES,STL,SD,#N/A,SD,STL,7.4,10,12.4,I. Herrera,0%,0%,3,0,0,0,0,0,0,0,0,3,1,0.3,,,,,,,,
Austin Riley,"4,200.00",3B,YES,ATL,TEX,Atl,Atl,TEX,7.4,10,12.4,A. Riley,33%,0%,8,2,1,0,0,1,0.25,0.333,0.708,13.62,1.7,0.335,,,,,,,,
